bw_req,latency_req,priority,prb_usage,queue_len,hour_of_day,prb_allocated,expected_latency,sla_ok,type_emergency,type_industry,type_normal
1.994,50,2,67.0,48,18,16,90.75,0,False,True,False
0.422,200,1,84.3,5,10,6,337.23,0,False,False,True
0.577,200,1,70.5,15,2,7,337.66,0,False,False,True
0.53,200,1,82.6,11,5,5,349.73,0,False,False,True
2.035,50,2,94.3,14,9,16,79.57,0,False,True,False
1.693,50,2,70.3,10,16,15,81.59,0,False,True,False
6.029,10,3,67.5,39,3,30,11.89,0,True,False,False
0.495,200,1,75.2,4,17,8,325.36,0,False,False,True
0.43,200,1,81.1,6,7,8,336.33,0,False,False,True
0.556,200,1,74.3,9,1,5,339.42,0,False,False,True
5.298,10,3,51.3,20,15,31,9.51,1,True,False,False
0.509,200,1,77.5,21,21,7,346.37,0,False,False,True
0.417,200,1,90.9,23,6,5,363.32,0,False,False,True
2.337,50,2,42.1,44,21,16,85.84,0,False,True,False
1.641,50,2,42.8,38,23,15,77.4,0,False,True,False
2.572,50,2,69.5,21,6,15,80.59,0,False,True,False
1.675,50,2,46.1,32,11,15,77.49,0,False,True,False
0.526,200,1,83.8,32,9,5,369.44,0,False,False,True
0.598,200,1,62.9,40,22,7,362.43,0,False,False,True
2.148,50,2,93.8,2,17,15,79.13,0,False,True,False
0.554,200,1,89.1,18,13,7,357.81,0,False,False,True
1.831,50,2,63.0,49,10,15,92.03,0,False,True,False
2.465,50,2,74.2,40,3,15,88.06,0,False,True,False
2.056,50,2,67.5,23,21,15,77.46,0,False,True,False
0.505,200,1,46.5,18,15,8,322.55,0,False,False,True
0.416,200,1,58.1,3,7,7,316.38,0,False,False,True
2.352,50,2,91.7,44,17,17,92.74,0,False,True,False
0.574,200,1,40.6,7,23,8,307.62,0,False,False,True
0.545,200,1,83.7,32,14,7,365.09,0,False,False,True
4.48,10,3,81.0,41,20,30,19.18,0,True,False,False
0.519,200,1,78.2,28,2,6,362.48,0,False,False,True
2.074,50,2,52.9,26,4,17,78.31,0,False,True,False
4.631,10,3,65.2,39,7,32,11.21,0,True,False,False
0.451,200,1,83.8,4,7,8,332.46,0,False,False,True
0.402,200,1,61.8,48,0,6,370.13,0,False,False,True
0.501,200,1,76.2,28,23,5,357.56,0,False,False,True
2.535,50,2,82.8,42,12,15,87.18,0,False,True,False
6.345,10,3,55.7,33,6,30,17.22,0,True,False,False
0.632,200,1,51.7,15,5,8,325.01,0,False,False,True
0.461,200,1,51.6,4,17,8,319.73,0,False,False,True
1.977,50,2,85.7,3,8,17,81.49,0,False,True,False
0.585,200,1,70.9,34,8,6,361.43,0,False,False,True
4.333,10,3,53.8,28,9,31,11.44,0,True,False,False
0.472,200,1,61.1,32,16,5,351.73,0,False,False,True
2.183,50,2,90.4,39,16,16,90.32,0,False,True,False
0.503,200,1,68.8,2,16,7,325.92,0,False,False,True
2.457,50,2,66.6,26,15,15,85.09,0,False,True,False
0.616,200,1,66.0,30,11,6,357.17,0,False,False,True
0.572,200,1,89.2,49,11,7,384.19,0,False,False,True
2.478,50,2,51.6,23,21,17,73.49,0,False,True,False
0.606,200,1,57.7,21,14,5,342.81,0,False,False,True
0.614,200,1,57.4,18,13,6,335.42,0,False,False,True
0.595,200,1,66.9,7,11,8,325.47,0,False,False,True
0.635,200,1,59.6,10,9,5,330.05,0,False,False,True
0.623,200,1,66.2,38,18,7,356.19,0,False,False,True
0.58,200,1,56.1,21,20,5,337.38,0,False,False,True
5.936,10,3,47.7,31,19,32,18.34,0,True,False,False
2.057,50,2,56.5,33,12,15,83.03,0,False,True,False
5.98,10,3,96.2,44,9,30,20.28,0,True,False,False
1.936,50,2,75.1,16,23,16,79.79,0,False,True,False
1.879,50,2,94.7,21,17,15,82.87,0,False,True,False
2.005,50,2,96.9,3,9,17,78.58,0,False,True,False
0.512,200,1,81.6,45,5,7,374.05,0,False,False,True
1.916,50,2,45.0,21,23,15,75.21,0,False,True,False
1.947,50,2,85.3,2,18,16,80.09,0,False,True,False
0.543,200,1,74.8,20,8,5,347.62,0,False,False,True
2.134,50,2,79.2,19,16,17,85.96,0,False,True,False
0.472,200,1,70.7,17,6,6,340.39,0,False,False,True
4.139,10,3,47.4,30,11,31,15.08,0,True,False,False
0.457,200,1,71.0,14,4,5,340.01,0,False,False,True
0.567,200,1,47.6,30,23,6,340.26,0,False,False,True
1.985,50,2,59.8,9,14,17,75.44,0,False,True,False
5.985,10,3,72.9,19,12,31,16.32,0,True,False,False
0.447,200,1,82.8,10,14,5,342.27,0,False,False,True
0.562,200,1,69.1,18,15,5,349.03,0,False,False,True
0.564,200,1,89.7,18,11,5,358.04,0,False,False,True
0.423,200,1,66.1,9,8,6,338.24,0,False,False,True
4.619,10,3,59.8,4,6,31,11.35,0,True,False,False
2.489,50,2,49.2,14,21,16,73.18,0,False,True,False
1.706,50,2,86.8,25,0,15,80.37,0,False,True,False
0.637,200,1,80.5,42,5,6,380.05,0,False,False,True
0.503,200,1,65.3,30,11,5,359.54,0,False,False,True
2.005,50,2,40.2,39,22,15,77.05,0,False,True,False
5.49,10,3,82.2,34,11,30,14.59,0,True,False,False
1.91,50,2,93.5,22,9,15,80.88,0,False,True,False
1.799,50,2,59.8,7,12,15,72.6,0,False,True,False
0.472,200,1,53.6,6,18,9,317.88,0,False,False,True
0.402,200,1,69.0,21,23,6,351.12,0,False,False,True
0.505,200,1,65.3,37,7,5,361.35,0,False,False,True
0.526,200,1,84.3,4,13,8,333.18,0,False,False,True
2.287,50,2,57.8,35,16,15,87.97,0,False,True,False
0.594,200,1,52.9,28,10,6,347.4,0,False,False,True
0.476,200,1,86.3,35,11,7,371.21,0,False,False,True
0.647,200,1,52.8,45,11,8,360.83,0,False,False,True
0.439,200,1,82.9,16,12,5,352.98,0,False,False,True
0.483,200,1,73.0,7,20,5,339.62,0,False,False,True
0.53,200,1,42.9,11,12,8,314.84,0,False,False,True
0.445,200,1,68.7,34,17,5,363.26,0,False,False,True
4.745,10,3,65.9,6,22,30,14.74,0,True,False,False
